time_span,x,y,z,vx,vy,vz
2460308.500000000, -3.318361761741429E+07,  3.622068713301876E+07,  5.969513580487225E+06, -4.614751465857324E+01, -2.961024764472161E+01,  1.746380151428010E+00
2460309.500000000, -3.704992244050683E+07,  3.351303356320300E+07,  6.098215421765784E+06, -4.330655830325237E+01, -3.301757536110274E+01,  1.233402359257076E+00
2460310.500000000, -4.065987040126050E+07,  3.052401318329216E+07,  6.182779996226745E+06, -4.021835422473870E+01, -3.612069369795024E+01,  7.250832164107095E-01
2460311.500000000, -4.399340081379633E+07,  2.728057755149914E+07,  6.223709321342943E+06, -3.691303496815871E+01, -3.890442184348843E+01,  2.236873182990671E-01
2460312.500000000, -4.703306664518490E+07,  2.381092207365963E+07,  6.221693748789424E+06, -3.342107545932093E+01, -4.135510848960246E+01, -2.686592685118061E-01
2460313.500000000, -4.976409206715667E+07,  2.014435828152978E+07,  6.177607628595796E+06, -2.977394007387434E+01, -4.346059528914274E+01, -7.497978371435590E-01
2460314.500000000, -5.217448361008695E+07,  1.631117278213635E+07,  6.092518082820788E+06, -2.600465185533051E+01, -4.521055324574886E+01, -1.217407384292905E+00
2460315.500000000, -5.425518232985333E+07,  1.234244356019031E+07,  5.967702721939683E+06, -2.214815417079941E+01, -4.659711787791105E+01, -1.668928703007747E+00
2460316.500000000, -5.600023486876606E+07,  8.269792275944995E+06,  5.804671385174805E+06, -1.824137509819757E+01, -4.761571591277641E+01, -2.101547459239182E+00
2460317.500000000, -5.740695543273852E+07,  4.125061289834097E+06,  5.605186814440608E+06, -1.432294881412731E+01, -4.826595987896354E+01, -2.512235134770059E+00
2460318.500000000, -5.847604862988669E+07, -6.008500891040475E+04,  5.371279506534257E+06, -1.043259110704381E+01, -4.855248543657810E+01, -2.897841391400629E+00
2460319.500000000, -5.921166455939746E+07, -4.254624561996190E+06,  5.105252731900519E+06, -6.610164300065506E+00, -4.848561695343652E+01, -3.255227296808776E+00
2460320.500000000, -5.962136199042830E+07, -8.428688596427171E+06,  4.809674752434392E+06, -2.894498026856651E+00, -4.808176679792620E+01, -3.581426015432161E+00
2460321.500000000, -5.971596226103116E+07, -1.255409301588149E+07,  4.487356505197593E+06,  6.779448552408515E-01, -4.736350020239535E+01, -3.873815992673325E+00
2460322.500000000, -5.950928490862095E+07, -1.660485946709097E+07,  4.141314337181314E+06,  4.074453978854847E+00, -4.635922767047688E+01, -4.130291280301808E+00
2460323.500000000, -5.901776524476957E+07, -2.055769338945776E+07,  3.774718679428238E+06,  7.267400506508211E+00, -4.510251830882397E+01, -4.349414360121967E+00
2460324.500000000, -5.825996335706346E+07, -2.439238711583001E+07,  3.390830748452899E+06,  1.023540456060372E+01, -4.363105797005360E+01, -4.530538485840802E+00
2460325.500000000, -5.725598266481852E+07, -2.809211937908998E+07,  2.992930383443267E+06,  1.296424706391681E+01, -4.198530379005354E+01, -4.673889016294858E+00
2460326.500000000, -5.602682356539327E+07, -3.164362807858691E+07,  2.584238908833904E+06,  1.544744940553961E+01, -4.020690998469289E+01, -4.780596269465274E+00
